idle, timer, state
623,675,3
56,2760,1
1027,2529,3
140,1201,2
878,956,3
49,658,1
174,190,2
2169,6908,3
4275,4387,3
4226,8073,3
3428,3495,3
46,10312,1
76,9812,1
4388,9517,3
4172,4773,3
188,223,2
805,856,3
715,775,3
771,834,3
737,834,3
47,904,1
580,640,3
359,419,3
86,72,1
42,2969,1
2178,2524,3
26,9,1
3879,3932,3
40,8677,1
4321,8474,3
2124,3796,3
264,1206,2
31,857,1
710,763,3
136,2731,2
163,2215,2
528,1662,3
832,937,3
742,3849,3
837,3880,3
2684,2786,3
797,3886,3
332,2904,3
2198,2303,3
1642,3853,3
825,1950,3
737,866,3
196,224,2
1525,3295,3
342,1476,3
831,956,3
2687,3932,3
854,962,3
870,1906,3
710,832,3
1075,2931,3
469,1598,3
825,951,3
809,3369,3
820,2368,3
494,1358,3
134,592,2
366,388,3
3067,9423,3
43,6075,1
136,5882,2
409,5433,3
1288,3846,3
486,595,3
826,927,3
335,938,3
317,339,3
828,954,3
837,962,3
838,963,3
191,536,2
106,103,2
68,57,1
817,939,3
820,946,3
801,925,3
855,958,3
102,936,2
500,624,3
3579,4902,3
36,968,1
833,874,3
2957,3749,3
371,464,3
810,1538,3
453,532,3
34,4952,1
1651,10785,3
4292,8793,3
104,4151,2
3842,3898,3
604,1833,3
770,1012,3
36,16,1
587,627,3
777,830,3
442,808,3
30,16,1
72,914,1
60,384,1
194,202,2
886,933,3
776,833,3
710,753,3
72,818,1
436,542,3
854,906,3
776,832,3
1564,3751,3
1791,1850,3
2202,4833,3
2191,2269,3
50,5546,1
276,4968,2
666,4411,3
3295,3362,3
422,5490,3
4429,4777,3
4274,4380,3
1174,6288,3
2890,10829,3
4322,7571,3
2780,2852,3
1252,10740,3
2021,9170,3
1389,6750,3
354,10078,3
4336,9371,3
4338,4689,3
78,0,1
4057,10890,3
1829,6551,3
2113,10393,3
4106,7894,3
3335,3418,3
671,7727,3
4328,6750,3
36,2057,1
832,1887,3
758,819,3
2059,8725,3
4350,6292,3
464,1574,3
821,886,3
2087,2156,3
81,290,1
79,54,1
906,968,3
783,860,3
497,860,3
31,11,1
920,962,3
78,821,1
431,523,3
820,883,3
775,838,3
682,829,3
221,236,2
438,589,3
3701,3764,3
265,4813,2
4127,4233,3
398,5184,3
3191,10510,3
4327,6883,3
2149,2205,3
1835,10720,3
3566,8580,3
413,10681,3
4380,9937,3
4395,5181,3
304,402,3
3772,10823,3
1345,6688,3
2713,10061,3
4343,6962,3
2164,2243,3
1728,10667,3
3768,8571,3
101,10482,2
4348,10096,3
4340,5367,3
565,641,3
3484,10789,3
1857,6892,3
2035,10685,3
4353,8270,3
3454,3537,3
453,2450,3
858,1631,3
474,548,3
43,22,1
922,970,3
756,818,3
134,833,2
39,364,1
181,205,2
888,937,3
775,834,3
626,7747,3
572,6920,3
74,6109,1
354,1756,3
781,1200,3
133,175,2
1854,3597,3
327,1433,3
803,911,3
262,296,2
2049,8032,3
3296,5676,3
445,2080,3
723,1376,3
345,454,3
2503,8312,3
3994,5491,3
160,1179,2
807,934,3
2715,7627,3
2719,4590,3
756,1577,3
94,616,1
296,317,2
3616,8163,3
3993,4241,3
823,914,3
2890,10850,3
2141,7644,3
1549,10204,3
4025,8382,3
3195,4041,3
463,554,3
3880,6473,3
1590,2291,3
325,434,3
637,683,3
573,831,3
855,912,3
770,833,3
771,833,3
707,764,3
87,855,1
380,487,3
820,896,3
318,861,3
173,199,2
883,934,3
643,747,3
4372,9779,3
35,5039,1
4194,10884,3
4130,6351,3
667,1722,3
755,821,3
2162,2733,3
179,199,2
781,832,3
739,810,3
486,856,3
37,20,1
917,965,3
81,837,1
439,534,3
756,812,3
772,834,3
665,5825,3
796,4921,3
1819,3754,3
610,1677,3
702,777,3
394,4907,3
4115,4186,3
622,5421,3
3282,10517,3
4235,6850,3
2294,2325,3
1644,10704,3
3751,8733,3
240,10653,2
4468,10108,3
4361,5272,3
443,518,3
3658,10796,3
1469,6787,3
2658,5491,3
9,2464,1
2380,2411,3
1570,4260,3
2326,2379,3
1707,6975,3
3790,4909,3
191,796,2
278,295,2
3920,9563,3
4363,5307,3
523,579,3
3412,10759,3
1946,6938,3
2050,10647,3
4237,8227,3
3584,3635,3
305,2904,3
2234,2291,3
389,433,3
744,793,3
133,819,2
32,337,1
169,192,2
900,937,3
781,822,3
681,725,3
828,6809,3
4380,5608,3
808,839,3
3268,10737,3
2436,7095,3
1636,6991,3
4180,4998,3
361,461,3
3162,3239,3
151,10717,2
4444,10257,3
336,5444,3
3746,10814,3
4404,6734,3
1864,1932,3
2093,10719,3
2880,8250,3
10,10017,1
1083,9958,3
2270,8569,3
239,6038,2
1268,5577,3
3842,3926,3
4214,7078,3
1360,2513,3
335,877,3
278,306,2
1638,9374,3
4333,7404,3
2699,2756,3
1307,10731,3
4072,9109,3
4233,10610,3
4306,6054,3
272,1380,2
820,895,3
2774,3348,3
170,202,2
273,287,2
846,912,3
491,860,3
34,16,1
916,964,3
546,836,3
855,913,3
701,837,3
775,942,3
810,871,3
117,844,2
355,462,3
2814,2889,3
677,4850,3
3794,3868,3
115,5496,2
368,5130,3
3603,10482,3
4278,6570,3
1845,1910,3
2012,10731,3
3345,8354,3
689,10665,3
4374,9659,3
4349,4886,3
140,176,2
4141,10912,3
1027,6403,3
2960,10081,3
4247,6802,3
2113,2180,3
1693,7206,3
3793,5139,3
205,1019,2
395,489,3
3600,9207,3
4306,5237,3
485,572,3
3620,10824,3
1836,6845,3
2078,10659,3
4311,8278,3
525,3609,3
2695,2779,3
461,3488,3
2617,2672,3
816,869,3
186,810,2
241,269,2
878,931,3
715,832,3
830,875,3
728,815,3
633,1422,3
495,560,3
2710,4057,3
898,959,3
338,399,3
126,150,2
884,922,3
758,821,3
89,763,1
340,446,3
838,898,3
771,833,3
115,4828,2
1345,10401,3
4273,8752,3
4051,4120,3
9,10710,1
4361,10567,3
811,5840,3
3143,10734,3
4331,7229,3
2477,2546,3
1543,10730,3
3499,8869,3
10,10016,1
469,9956,3
4242,9168,3
4367,4541,3
