cpu-id,start time(ms),width(us),actual state,predicted state,delta time(ms)
1,399.653,48.0,2,2,0.188
1,399.704,570.0,4,4,0.051
1,400.366,148.0,3,3,0.662
1,400.611,88.0,2,2,0.245
1,400.702,98.0,4,2,0.091
1,401.138,597.0,3,4,0.436
1,401.755,1046.0,4,4,0.617
1,402.966,290.0,4,3,1.211
1,403.526,69.0,2,2,0.56
1,403.665,40.0,2,2,0.139
1,403.866,170.0,4,3,0.201
1,404.076,640.0,4,4,0.21
1,404.768,662.0,4,4,0.692
1,406.586,126.0,3,3,1.818
1,406.741,201.0,4,3,0.155
1,407.253,17.0,4,2,0.512
1,407.313,82.0,4,2,0.06
1,407.459,252.0,3,3,0.146
1,407.733,223.0,4,3,0.274
1,408.372,149.0,2,3,0.639
1,408.566,127.0,2,3,0.194
1,408.696,1060.0,4,4,0.13
1,409.84,913.0,4,4,1.144
1,410.799,232.0,4,3,0.959
1,411.334,72.0,3,2,0.535
1,411.461,131.0,3,3,0.127
1,411.659,38.0,2,2,0.198
1,411.701,1047.0,4,4,0.042
1,412.803,944.0,4,4,1.102
1,413.871,875.0,4,4,1.068
1,414.798,286.0,4,3,0.927
1,415.353,104.0,3,3,0.555
1,415.517,108.0,2,3,0.164
1,415.701,1048.0,4,4,0.184
1,416.803,950.0,4,4,1.102
1,417.903,883.0,4,4,1.1
1,418.846,400.0,4,4,0.943
1,419.518,98.0,3,2,0.672
1,419.683,17.0,2,2,0.165
1,419.706,108.0,4,3,0.023
1,419.93,519.0,3,4,0.224
1,420.583,173.0,4,3,0.653
1,420.809,1269.0,4,4,0.226
1,422.898,125.0,4,3,2.089
1,423.486,227.0,3,3,0.588
1,423.751,542.0,4,4,0.265
